Job_Title,Industry,Experience_In_Current_Role,Annual_Compensation,ML_In_Use
Product/Project Manager,Other,25-30,"90-100,000",I do not know
Data Analyst,Government/Public Service,3-4,"60-70,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Data Scientist,Broadcasting/Communications,5-10,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Manager,Academics/Education,30 +,"30-40,000",I do not know
Data Analyst,Marketing/CRM,2-3,"0-10,000",No (we do not use ML methods)
Data Engineer,Broadcasting/Communications,2-3,"100-125,000",No (we do not use ML methods)
Data Scientist,Insurance/Risk Assessment,5-10,I do not wish to disclose my approximate yearly compensation,We use ML methods for generating insights (but do not put working models into production)
Other,Computers/Technology,20-25,"150-200,000",We are exploring ML methods (and may one day put a model into production)
Data Scientist,Insurance/Risk Assessment,2-3,"125-150,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Data Analyst,Insurance/Risk Assessment,2-3,"80-90,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Data Scientist,Academics/Education,0-1,"0-10,000",We are exploring ML methods (and may one day put a model into production)
Software Engineer,Computers/Technology,2-3,"10-20,000",We are exploring ML methods (and may one day put a model into production)
Data Scientist,Marketing/CRM,10-15,"0-10,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Not employed,,0,,
Data Scientist,Academics/Education,5-10,"50-60,000",No (we do not use ML methods)
Not employed,,0,,
Not employed,,0,,
Data Scientist,Online Business/Internet-based Sales,0-1,I do not wish to disclose my approximate yearly compensation,"We have well established ML methods (i.e., models in production for more than 2 years)"
Data Analyst,Academics/Education,2-3,"125-150,000",We are exploring ML methods (and may one day put a model into production)
Data Scientist,Retail/Sales,3-4,"20-30,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Other,Academics/Education,0-1,"60-70,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Other,Academics/Education,10-15,"100-125,000",I do not know
Student,I am a student,5-10,"10-20,000",No (we do not use ML methods)
Data Analyst,Academics/Education,4-5,"0-10,000",No (we do not use ML methods)
Statistician,Academics/Education,1-2,"60-70,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Data Scientist,Other,3-4,"150-200,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Data Analyst,Marketing/CRM,2-3,"10-20,000",No (we do not use ML methods)
Not employed,,0,,
Data Analyst,Other,2-3,"80-90,000",No (we do not use ML methods)
Manager,Computers/Technology,5-10,"200-250,000",We use ML methods for generating insights (but do not put working models into production)
Software Engineer,Online Business/Internet-based Sales,1-2,"100-125,000",We are exploring ML methods (and may one day put a model into production)
Data Scientist,Computers/Technology,5-10,"40-50,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Software Engineer,Online Service/Internet-based Services,5-10,"70-80,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Chief Officer,Online Service/Internet-based Services,25-30,"150-200,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Consultant,Computers/Technology,15-20,I do not wish to disclose my approximate yearly compensation,"We recently started using ML methods (i.e., models in production for less than 2 years)"
Data Analyst,Computers/Technology,5-10,"20-30,000",We are exploring ML methods (and may one day put a model into production)
Product/Project Manager,Manufacturing/Fabrication,5-10,"10-20,000",No (we do not use ML methods)
Data Scientist,Computers/Technology,20-25,"250-300,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Not employed,,0,,
Other,Other,1-2,"10-20,000",No (we do not use ML methods)
Manager,Accounting/Finance,10-15,"10-20,000",We are exploring ML methods (and may one day put a model into production)
Data Scientist,Insurance/Risk Assessment,0-1,"0-10,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Student,I am a student,5-10,I do not wish to disclose my approximate yearly compensation,No (we do not use ML methods)
Not employed,,0,,
Software Engineer,Government/Public Service,5-10,"30-40,000",We are exploring ML methods (and may one day put a model into production)
Data Engineer,Retail/Sales,0-1,"20-30,000",We are exploring ML methods (and may one day put a model into production)
Not employed,,0,,
Statistician,Non-profit/Service,2-3,"0-10,000",No (we do not use ML methods)
Data Analyst,Non-profit/Service,5-10,"70-80,000",No (we do not use ML methods)
Research Scientist,Computers/Technology,30 +,"200-250,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Not employed,,0,,
Data Analyst,Online Business/Internet-based Sales,1-2,"50-60,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Data Scientist,Accounting/Finance,1-2,"70-80,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Software Engineer,Computers/Technology,0-1,"0-10,000",No (we do not use ML methods)
Business Analyst,Computers/Technology,0-1,"90-100,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Data Scientist,Government/Public Service,2-3,"0-10,000",No (we do not use ML methods)
Data Analyst,Online Service/Internet-based Services,1-2,"0-10,000",We are exploring ML methods (and may one day put a model into production)
Software Engineer,Government/Public Service,10-15,"100-125,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Chief Officer,Military/Security/Defense,5-10,I do not wish to disclose my approximate yearly compensation,"We have well established ML methods (i.e., models in production for more than 2 years)"
Student,Academics/Education,0-1,"10-20,000",We are exploring ML methods (and may one day put a model into production)
Data Scientist,Computers/Technology,0-1,I do not wish to disclose my approximate yearly compensation,"We recently started using ML methods (i.e., models in production for less than 2 years)"
Consultant,Computers/Technology,20-25,"30-40,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Business Analyst,Manufacturing/Fabrication,0-1,"0-10,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Data Scientist,Retail/Sales,1-2,I do not wish to disclose my approximate yearly compensation,We use ML methods for generating insights (but do not put working models into production)
Research Assistant,Academics/Education,0-1,"30-40,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Consultant,Other,5-10,,"We have well established ML methods (i.e., models in production for more than 2 years)"
Other,Online Service/Internet-based Services,0-1,"70-80,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Data Scientist,Accounting/Finance,0-1,"0-10,000",No (we do not use ML methods)
Student,I am a student,0-1,"0-10,000",No (we do not use ML methods)
Business Analyst,Energy/Mining,0-1,"80-90,000",No (we do not use ML methods)
